map_id,player,team,agent,kills,deaths,assists,acs,adr,hs_percent,kd_ratio,source
660371_0,MazinoMIBR,,Astra,1477,17710,972,186203171.0,0.0,0.0,0.083399209486166,vlr
660371_0,aspasMIBR,,Raze,1046,17710,321,150139161.0,0.0,0.0,0.0590626764539808,vlr
660371_0,VernoMIBR,,Fade,1174,18711,761,137174104.0,0.0,0.0,0.0627438405216183,vlr
660371_0,kiNggLEV,team_b,Viper,19811,1266,321,215183251.0,0.0,0.0,15.648499210110584,vlr
660371_0,spikeLEV,team_b,Neon,21156,1679,963,280355199.0,0.0,0.0,12.600357355568793,vlr
660371_0,SatoLEV,team_b,Phoenix,22139,18108,413,252268235.0,0.0,0.0,1.2226087916942787,vlr
660371_0,NeonLEV,team_b,Omen,16106,1468,633,192225157.0,0.0,0.0,10.971389645776568,vlr
660371_0,blowzLEV,team_b,Fade,862,853,321,9311868.0,0.0,0.0,1.010550996483001,vlr
660371_2,aspasMIBR,,Jett,19145,761,202,260252278.0,0.0,0.0,25.157687253613663,vlr
660371_2,VernoMIBR,,Skye,1165,651,523,180142273.0,0.0,0.0,1.7895545314900154,vlr
660371_2,texMIBR,,Cypher,15105,1091,844,242242244.0,0.0,0.0,13.845096241979835,vlr
660371_2,MazinoMIBR,,Brimstone,1275,972,20137,203168287.0,0.0,0.0,1.3117283950617284,vlr
660371_2,zekkenMIBR,,Neon,16124,1174,0,246280167.0,0.0,0.0,13.734241908006814,vlr
660371_2,NeonLEV,team_b,Brimstone,16214,1257,523,275160323.0,0.0,0.0,12.898965791567225,vlr
660371_2,spikeLEV,team_b,Neon,734,15510,303,131183110.0,0.0,0.0,0.0473243068987749,vlr
660371_2,kiNggLEV,team_b,Breach,725,15411,514,121110126.0,0.0,0.0,0.0470443189929271,vlr
660371_3,MazinoMIBR,,Omen,1358,15510,514,169141188.0,0.0,0.0,0.0875564152159896,vlr
660371_3,VernoMIBR,,Sage,1248,1569,532,173169177.0,0.0,0.0,0.7954110898661568,vlr
660371_3,zekkenMIBR,,Sova,1037,1468,220,144107170.0,0.0,0.0,0.7064032697547684,vlr
660371_3,aspasMIBR,,Jett,1248,1688,303,169145187.0,0.0,0.0,0.7393364928909952,vlr
660371_3,texMIBR,,Vyse,523,16610,817,10597110.0,0.0,0.0,0.0314870559903672,vlr
660371_3,spikeLEV,team_b,Neon,231211,1495,431,311291343.0,0.0,0.0,154.6561872909699,vlr
660371_3,SatoLEV,team_b,Phoenix,1569,1275,1257,244150387.0,0.0,0.0,1.2305882352941175,vlr
660371_3,blowzLEV,team_b,Sova,1284,972,1284,206236163.0,0.0,0.0,1.3209876543209875,vlr
660371_3,kiNggLEV,team_b,Omen,13103,752,945,148171115.0,0.0,0.0,17.424202127659573,vlr
660371_3,NeonLEV,team_b,Chamber,1394,1064,211,193212166.0,0.0,0.0,1.3101503759398496,vlr
660372_0,LessKRÜ,,Viper,271512,16610,0,286334238.0,0.0,0.0,16.346297411198073,vlr
660372_0,saadhakKRÜ,,Omen,1789,18810,844,213191236.0,0.0,0.0,0.0951089845826688,vlr
660372_0,mwzeraKRÜ,,Fade,1156,16610,1138,149129169.0,0.0,0.0,0.0695966285370258,vlr
660372_0,Dantedeu5KRÜ,,Neon,1587,19910,312,178186171.0,0.0,0.0,0.0797086891009543,vlr
660372_0,silentzzKRÜ,,Vyse,1266,1789,202,127130126.0,0.0,0.0,0.7076579094466182,vlr
660372_0,trentG2,team_b,Fade,19118,1679,853,205202209.0,0.0,0.0,11.386539606908874,vlr
660372_0,valynG2,team_b,Omen,17161,1789,835,20034160.0,0.0,0.0,9.592509782001118,vlr
660372_0,jawgemoG2,team_b,Raze,19415,19109,321,236120353.0,0.0,0.0,1.0160133968287195,vlr
660372_0,BABYBAYG2,team_b,Vyse,1376,1486,743,176198156.0,0.0,0.0,0.9259757738896366,vlr
660372_0,leafG2,team_b,Viper,18117,1679,312,196242151.0,0.0,0.0,10.790351399642644,vlr
660372_2,mwzeraKRÜ,,Sova,20128,1477,862,269245306.0,0.0,0.0,13.62762356127285,vlr
