map_id,team,agent_1,agent_2,agent_3,agent_4,agent_5,source
686508_0,FG Origins,Phoenix,Jett,Vyse,Omen,Sova,vlr
686510_0,BOUZELOUF,Jett,Neon,Viper,Sova,Omen,vlr
686510_2,BOUZELOUF,Phoenix,Vyse,Omen,Neon,Fade,vlr
686510_3,BOUZELOUF,Neon,Killjoy,Sova,Phoenix,Omen,vlr
686511_0,AquaEdge Esports,Viper,Fade,Raze,Neon,Omen,vlr
686511_2,AquaEdge Esports,Vyse,Fade,Omen,Neon,Raze,vlr
686511_3,AquaEdge Esports,Omen,Neon,Phoenix,Killjoy,Sova,vlr
686512_0,KZ PLAYERS,Viper,Sova,Neon,Omen,Iso,vlr
686513_0,FRG TSE SWE,Jett,Vyse,Raze,Omen,Fade,vlr
686513_2,FRG TSE SWE,Vyse,Jett,Phoenix,Omen,Sova,vlr
686515_0,Szach Mat,Jett,Skye,Astra,Viper,Raze,vlr
686515_2,Szach Mat,Vyse,Jett,Omen,Phoenix,Sova,vlr
686515_3,Szach Mat,Raze,Viper,Vyse,Fade,Omen,vlr
686517_0,Melilla Titans,Vyse,Omen,Sova,Jett,KAY/O,vlr
686517_2,Melilla Titans,Omen,Chamber,Sova,Jett,Phoenix,vlr
686518_0,FRG UK,Jett,Phoenix,Omen,Killjoy,Sova,vlr
686519_0,Baltic Brits,Phoenix,Jett,Omen,Killjoy,Sova,vlr
686519_2,Baltic Brits,Omen,Sova,Killjoy,Jett,Phoenix,vlr
686520_0,Enisorail,Jett,Harbor,Viper,Iso,Sova,vlr
686520_2,Enisorail,Phoenix,Raze,Chamber,Fade,Brimstone,vlr
686521_0,YcatbIe,Jett,Sova,Omen,Phoenix,Killjoy,vlr
686521_2,YcatbIe,Chamber,Jett,Sova,Omen,Viper,vlr
686521_3,YcatbIe,Killjoy,Fade,Phoenix,Omen,Raze,vlr
686522_0,VENOM ESPOR,Chamber,Raze,Viper,Fade,Omen,vlr
686522_2,VENOM ESPOR,Jett,Phoenix,Omen,Vyse,Sova,vlr
686522_3,VENOM ESPOR,Raze,Omen,Jett,Viper,Skye,vlr
686523_0,Esports Psycho,Raze,Omen,Viper,Fade,Vyse,vlr
686523_2,Esports Psycho,Jett,Skye,Chamber,Raze,Clove,vlr
686524_2,KZ PLAYERS,Astra,Viper,Sova,Neon,Iso,vlr
686525_0,Szach Mat,Sova,Vyse,Phoenix,Omen,Jett,vlr
686525_2,Szach Mat,Jett,Skye,Raze,Viper,Astra,vlr
